elo,name,date,year,color,id,Master_id
1499.738349408468,Crystal Palace,2019-09-14T14:00:00Z,2019-20,#1B458F,7.0,7.0
1452.9934660067372,Wolves,2019-09-14T14:00:00Z,2019-20,#FDB913,20.0,26.0
1526.1348708009878,Chelsea,2019-09-14T14:00:00Z,2019-20,#034694,6.0,6.0
1483.6953465057813,Norwich,2019-09-14T16:30:00Z,2019-20,#FFF200,14.0,18.0
1537.3876802978614,Man City,2019-09-14T16:30:00Z,2019-20,#6CABDD,11.0,15.0
1503.3709993045613,Bournemouth,2019-09-15T13:00:00Z,2019-20,#DA291C,3.0,2.0
1490.6373951406713,Everton,2019-09-15T13:00:00Z,2019-20,#003399,8.0,8.0
1438.751476676294,Watford,2019-09-15T15:30:00Z,2019-20,#FFEE00,18.0,23.0
1516.2383326531904,Arsenal,2019-09-15T15:30:00Z,2019-20,#EF0107,1.0,0.0
1463.1208325463444,Aston Villa,2019-09-16T19:00:00Z,2019-20,#670E36,2.0,1.0
1519.9102091240104,West Ham,2019-09-16T19:00:00Z,2019-20,#7A263A,19.0,25.0
1484.7427744653314,Southampton,2019-09-20T19:00:00Z,2019-20,#D71920,16.0,21.0
1528.8649647572931,Bournemouth,2019-09-20T19:00:00Z,2019-20,#DA291C,3.0,2.0
1544.6670367774514,Leicester,2019-09-21T11:30:00Z,2019-20,#003090,9.0,12.0
1498.6641505480534,Spurs,2019-09-21T11:30:00Z,2019-20,#132257,17.0,22.0
1504.826732389316,Burnley,2019-09-21T14:00:00Z,2019-20,#6C1D45,5.0,5.0
1458.3954095357246,Norwich,2019-09-21T14:00:00Z,2019-20,#FFF200,14.0,18.0
1464.3290696537051,Everton,2019-09-21T14:00:00Z,2019-20,#003399,8.0,8.0
1498.7467410906797,Sheffield Utd,2019-09-21T14:00:00Z,2019-20,#EE2737,15.0,20.0
1555.4749616529907,Man City,2019-09-21T14:00:00Z,2019-20,#6CABDD,11.0,15.0
1420.6641953211647,Watford,2019-09-21T14:00:00Z,2019-20,#FFEE00,18.0,23.0
1460.4634329780179,Newcastle,2019-09-21T16:30:00Z,2019-20,#241F20,13.0,17.0
1470.5881743253813,Brighton,2019-09-21T16:30:00Z,2019-20,#0057B8,4.0,4.0
1496.3949342068768,Crystal Palace,2019-09-22T13:00:00Z,2019-20,#1B458F,7.0,7.0
1456.3368812083284,Wolves,2019-09-22T13:00:00Z,2019-20,#FDB913,20.0,26.0
